iter	RMSE
0	0.8406369783
1	0.8346980103
2	0.8286744339
3	0.8230089127
4	0.817397598
5	0.8119714112
6	0.806519011
7	0.8012678977
8	0.7962730083
9	0.7914107601
10	0.7868411123
11	0.7822978195
12	0.77804165
13	0.7737444762
14	0.7700032442
15	0.766044563
16	0.7621454686
17	0.7583939589
18	0.754888636
19	0.7513307859
20	0.7479905325
21	0.7447489407
22	0.7415851612
23	0.7385550811
24	0.7355810686
25	0.732669542
26	0.7299788345
27	0.7272479275
28	0.724588136
29	0.7221197238
30	0.7196238703
31	0.7173414911
32	0.7151489268
33	0.7129736941
34	0.7109104151
35	0.7087411355
36	0.7068172218
37	0.7048509928
38	0.7029204155
39	0.7011974195
40	0.6995265795
41	0.6978510148
42	0.6962139336
43	0.6947262888
44	0.693255114
45	0.6919210955
46	0.6906241306
47	0.6893078488
48	0.687979073
49	0.686664645
50	0.6854104277
51	0.6842354984
52	0.6831322786
53	0.6819867811
54	0.6808561313
55	0.6798141998
56	0.6788724263
57	0.6778590908
58	0.6769421728
59	0.6760304793
60	0.6752054909
61	0.6743867227
62	0.6735408574
63	0.6728103756
64	0.6720596297
65	0.671335375
66	0.6706316249
67	0.6699674347
68	0.6693258953
69	0.6687088562
70	0.6681101436
71	0.6675002303
72	0.6668819475
73	0.6663809698
74	0.6658250295
75	0.665285088
76	0.6647924357
77	0.664341571
78	0.6638524989
79	0.6634154523
80	0.6629340458
81	0.6625342905
82	0.6621335906
83	0.6617306749
84	0.6613020563
85	0.6609407876
86	0.6605624119
87	0.6602468906
88	0.6599287144
89	0.6595769309
90	0.6592733429
91	0.658904939
92	0.6585929646
93	0.6583184084
94	0.6580299725
95	0.6577283369
96	0.6574550536
97	0.6571771215
98	0.6569304657
99	0.6566749773
100	0.6564347764
101	0.6562267893
102	0.6559746354
103	0.6557494587
104	0.6555356337
105	0.6552973872
106	0.6551076351
107	0.6549166158
108	0.654720175
109	0.654531314
110	0.6543567013
111	0.6540912197
112	0.6538213969
113	0.6535175132
114	0.6532287504
115	0.6529414784
116	0.6526597548
117	0.6523895138
118	0.652139394
119	0.651906674
120	0.651677657
121	0.6514249397
122	0.6512128472
123	0.6509666053
124	0.6507418078
125	0.6505536055
126	0.6503504473
127	0.6501409901
128	0.6499263023
129	0.649737789
130	0.6495696675
131	0.6493953954
132	0.6491955274
133	0.6490103028
134	0.6488548192
135	0.6486775373
136	0.6485230864
137	0.6484104297
138	0.6482601671
139	0.6481019941
140	0.6479579187
141	0.6478065102
142	0.6476835028
143	0.6475682792
144	0.6474283951
145	0.6473028942
146	0.6471929266
147	0.6470500412
148	0.646930411
149	0.6468133053
150	0.6466951642
151	0.6465912351
152	0.646492911
153	0.6464066581
154	0.6463268349
155	0.6462327138
156	0.6461215971
157	0.6460245641
158	0.6459137202
159	0.645829844
160	0.6457212191
161	0.6456396737
162	0.6455394567
163	0.6454474955
164	0.6453614459
165	0.6452635649
166	0.6451927387
167	0.6451111105
168	0.6450200573
169	0.6449364563
170	0.6448471298
171	0.6447894606
172	0.6447166854
173	0.6446564981
174	0.644584863
175	0.644505027
176	0.6444383733
177	0.6443757275
178	0.6443213055
179	0.6442249579
180	0.6441481664
181	0.6440792833
182	0.6440052615
183	0.6439422591
184	0.6438828893
185	0.6438199891
186	0.6437584425
187	0.6436941083
188	0.6436322155
189	0.6435809377
190	0.643494513
191	0.6434378886
192	0.6433673085
193	0.6433017408
194	0.6432490705
195	0.643187902
196	0.6431464298
197	0.6431053662
198	0.6430593027
199	0.6430136281
200	0.6429617688
201	0.6429153253
202	0.6428630421
203	0.6428086863
204	0.6427615882
205	0.6427399812
206	0.6426961406
207	0.6426482664
208	0.6425685787
209	0.6425107172
210	0.6424493518
211	0.6424047501
212	0.6423680676
213	0.6422955205
214	0.6422485271
215	0.6422214686
216	0.6421707579
217	0.6421191432
218	0.6420681318
219	0.6420136008
220	0.641937517
221	0.6418828274
222	0.6418152639
223	0.6417787243
224	0.6417466306
225	0.641710849
226	0.6416672176
227	0.6416340659
228	0.6415838545
229	0.641539499
230	0.6414844616
231	0.6414343092
232	0.641382696
233	0.6413069422
234	0.6412710986
235	0.6412400768
236	0.6412032072
237	0.6411677276
238	0.6411110594
239	0.6410453385
240	0.6410104143
241	0.6409602316
242	0.6409200749
243	0.6408958877
244	0.6408757875
245	0.6408380738
246	0.6407991976
247	0.6407750887
248	0.6407355347
249	0.6406651919
250	0.6405935436
251	0.6404994587
252	0.6404690735
253	0.6404031716
254	0.6403435167
255	0.6403079304
256	0.6402722593
257	0.6402010925
258	0.6401692596
259	0.6401241152
260	0.6400831567
261	0.6400407895
262	0.6399611037
263	0.6398682978
264	0.6398057152
265	0.6397871182
266	0.6397354846
267	0.6396873617
268	0.6396298363
269	0.6395877442
270	0.6395344677
271	0.639447509
272	0.6393868888
273	0.6393598441
274	0.6393104242
275	0.6392567108
276	0.6391962515
277	0.639139372
278	0.63907526
279	0.6390068467
280	0.6389742891
281	0.6389410698
282	0.6389056893
283	0.6388506876
284	0.6387903156
285	0.63875183
286	0.6387213477
287	0.6386777646
288	0.6386378128
289	0.6385839337
290	0.6385642132
291	0.6385125209
292	0.6384714735
293	0.6384228973
294	0.6383904638
295	0.6383494753
296	0.6383288876
297	0.6382879744
298	0.6382488456
299	0.638159366
300	0.6381159569
301	0.6380985075
302	0.6380610349
303	0.6380415235
304	0.6380197935
305	0.6379846702
306	0.6379533818
307	0.6379271818
308	0.6378963379
309	0.6378384645
310	0.637808819
311	0.6377734241
312	0.6377501908
313	0.6377024041
314	0.6376654055
315	0.6376171108
316	0.6375900775
317	0.6375710799
318	0.6375387986
319	0.6375063387
320	0.6374883867
321	0.6374554333
322	0.6374125751
323	0.6373898069
324	0.6373468849
325	0.6373181753
326	0.637277624
327	0.6372604899
328	0.6372353162
329	0.6372084432
330	0.6371604671
331	0.6371191379
332	0.6370948645
333	0.637073319
334	0.6369914944
335	0.63694237
336	0.6369065402
337	0.6368712815
338	0.6368254302
339	0.6368043357
340	0.6367681816
341	0.6367341506
342	0.636709287
343	0.6366731499
344	0.636669693
345	0.636635711
346	0.636604894
347	0.6365717718
348	0.6365187308
349	0.636507112
350	0.6364883543
351	0.6364601612
352	0.6364371535
353	0.6364187968
354	0.6363829875
355	0.636360554
356	0.6363254289
357	0.6362983484
358	0.6362807038
359	0.6362556087
360	0.6362256886
361	0.6361987407
362	0.6361785105
363	0.6361478693
364	0.6361207571
365	0.6361038879
366	0.6360675847
367	0.6360231839
368	0.6359841456
369	0.6359626636
370	0.6359482938
371	0.6359272239
372	0.6359104788
373	0.6358770355
374	0.6358513479
375	0.635828082
376	0.6357993311
377	0.6357703689
378	0.635755846
379	0.6357313122
380	0.6357103526
381	0.6356905042
382	0.6356766382
383	0.6356640013
384	0.6356465923
385	0.6356172848
386	0.6355924994
387	0.6355741977
388	0.635551977
389	0.6355022087
390	0.6354777042
391	0.6354659647
392	0.6354197953
393	0.6354005648
394	0.6353637092
395	0.6353623951
396	0.6353305801
397	0.6352989237
398	0.6352737634
399	0.6352533187
