iter	Passed	Remaining
0	65	26215
1	127	25353
2	195	25900
3	259	25707
4	322	25469
5	385	25338
6	443	24891
7	503	24669
8	566	24616
9	627	24462
10	702	24830
11	772	24978
12	840	25033
13	902	24870
14	940	24146
15	998	23970
16	1057	23832
17	1124	23863
18	1191	23892
19	1254	23833
20	1319	23821
21	1384	23784
22	1443	23663
23	1503	23550
24	1571	23578
25	1632	23489
26	1696	23430
27	1755	23328
28	1821	23305
29	1888	23295
30	1956	23283
31	2021	23251
32	2092	23275
33	2156	23212
34	2218	23133
35	2280	23060
36	2331	22874
37	2389	22759
38	2453	22714
39	2515	22642
40	2579	22588
41	2643	22531
42	2701	22430
43	2775	22460
44	2836	22373
45	2907	22373
46	2946	22128
47	3005	22042
48	3075	22030
49	3146	22027
50	3209	21964
51	3271	21894
52	3332	21816
53	3396	21765
54	3467	21749
55	3527	21669
56	3592	21615
57	3655	21556
58	3720	21503
59	3780	21421
60	3843	21357
61	3912	21331
62	3976	21271
63	4043	21225
64	4112	21194
65	4177	21141
66	4244	21097
67	4304	21018
68	4372	20974
69	4436	20913
70	4501	20856
71	4560	20775
72	4628	20730
73	4685	20643
74	4750	20586
75	4806	20489
76	4874	20446
77	4939	20393
78	5002	20327
79	5059	20238
80	5124	20180
81	5186	20113
82	5243	20026
83	5303	19952
84	5370	19904
85	5433	19840
86	5497	19778
87	5546	19664
88	5612	19611
89	5677	19555
90	5742	19499
91	5806	19440
92	5864	19360
93	5926	19292
94	5989	19230
95	6052	19165
96	6116	19106
97	6180	19046
98	6240	18974
99	6298	18895
100	6361	18831
101	6424	18768
102	6488	18710
103	6553	18652
104	6622	18606
105	6682	18534
106	6747	18476
107	6809	18409
108	6868	18336
109	6939	18294
110	7007	18245
111	7069	18179
112	7130	18111
113	7187	18030
114	7247	17962
115	7297	17865
116	7345	17766
117	7401	17688
118	7461	17618
119	7522	17552
120	7573	17463
121	7619	17363
122	7670	17275
123	7734	17214
124	7792	17144
125	7847	17066
126	7910	17005
127	7962	16921
128	8019	16847
129	8067	16754
130	8132	16699
131	8190	16628
132	8244	16551
133	8303	16483
134	8359	16410
135	8442	16389
136	8500	16317
137	8533	16201
138	8599	16148
139	8647	16060
140	8711	16001
141	8764	15923
142	8818	15848
143	8887	15799
144	8930	15704
145	8985	15632
146	9034	15549
147	9086	15471
148	9146	15408
149	9206	15344
150	9255	15261
151	9314	15196
152	9374	15133
153	9430	15063
154	9496	15010
155	9547	14932
156	9612	14877
157	9672	14814
158	9729	14747
159	9788	14682
160	9851	14624
161	9912	14562
162	9981	14513
163	10037	14443
164	10094	14377
165	10159	14321
166	10226	14267
167	10291	14212
168	10353	14151
169	10414	14089
170	10479	14033
171	10524	13951
172	10586	13891
173	10654	13838
174	10721	13785
175	10780	13721
176	10839	13656
177	10904	13600
178	10964	13537
179	11010	13457
180	11063	13386
181	11131	13333
182	11190	13269
183	11253	13210
184	11307	13141
185	11368	13080
186	11427	13016
187	11482	12948
188	11538	12881
189	11613	12835
190	11681	12781
191	11755	12735
192	11820	12677
193	11886	12621
194	11949	12562
195	12006	12496
196	12074	12441
197	12145	12390
198	12203	12325
199	12266	12266
200	12334	12211
201	12382	12137
202	12447	12079
203	12513	12023
204	12575	11962
205	12613	11879
206	12680	11822
207	12736	11756
208	12813	11710
209	12875	11649
210	12934	11585
211	12988	11518
212	13055	11461
213	13125	11408
214	13185	11345
215	13237	11275
216	13297	11214
217	13363	11156
218	13431	11100
219	13475	11025
220	13548	10973
221	13609	10911
222	13674	10853
223	13738	10794
224	13807	10739
225	13879	10685
226	13949	10631
227	14015	10573
228	14070	10506
229	14121	10437
230	14192	10383
231	14263	10328
232	14323	10266
233	14392	10209
234	14456	10150
235	14523	10092
236	14589	10034
237	14646	9969
238	14708	9908
239	14773	9848
240	14835	9787
241	14899	9728
242	14965	9669
243	15033	9611
244	15096	9550
245	15163	9492
246	15221	9428
247	15309	9383
248	15362	9316
249	15429	9257
250	15500	9201
251	15564	9140
252	15615	9073
253	15662	9002
254	15725	8942
255	15785	8879
256	15843	8815
257	15901	8752
258	15961	8689
259	16028	8630
260	16089	8568
261	16162	8513
262	16231	8455
263	16290	8392
264	16347	8327
265	16411	8267
266	16473	8206
267	16531	8142
268	16591	8079
269	16656	8019
270	16727	7962
271	16793	7902
272	16850	7838
273	16916	7778
274	16979	7717
275	17031	7651
276	17098	7592
277	17153	7527
278	17225	7470
