TRAVEL_ID,recommend_result_place
a_a006728,"['정발산', '일산호수공원', '고양어린이박물관', '중남미문화원', '고양시선인장전시관', '지혜의숲', '아쿠아필드 고양', '라페스타', '밤가시공원', '창릉천']"
a_a010544,"['고양어린이박물관', '중남미문화원', '창릉천', '아쿠아필드 고양', '행주산성역사공원', '서삼릉', '스타필드 고양', '화정역광장', '원당시장']"
a_a001405,"['용추폭포', '자라섬', '워터플레이 수상레저', '자라섬 남도', '보야지투자라섬', '가평뮤직빌리지 음악역1939', '노랑다리미술관', '자라섬 꽃테마공원', '자라섬재즈페스티벌', '쁘띠프랑스']"
a_a005503,"['서울숲', '섬세이 테라리움', '디뮤지엄', '메가박스 성수', '서울 선릉과 정릉', '코엑스', '봉은사', '서울숲카페거리', '코엑스 아쿠아리움', '스타필드 코엑스몰']"
a_a018188,"['여의도한강공원', '여의도공원', '63스퀘어', '여의도공원 문화의마당', '아쿠아플라넷63', '한강', '이랜드크루즈', '서울세계불꽃축제', '63전망대', '63아트홀']"
a_a001129,['청계광장']
a_a006668,"['오두산통일전망대', '장릉', '헤이리예술마을', '헤이리무장애노을숲길', '국립민속박물관 파주', '잇츠콜라박물관', 'DMZ 장단콩두부마을', '통일동산두부마을', '프로방스마을', '엘리펀트플라잉']"
a_a018209,['검단산']
a_a006101,"['소피텔 앰배서더 서울', '석촌호수 동호', '서울스카이', '롯데월드아쿠아리움', '석촌호수수변무대', '석촌호수산책길', '롯데시네마 월드타워', '롯데월드타워', '롯데월드타워&롯데월드몰', '송리단길']"
a_a005593,"['인사동 문화의거리', '안녕인사동', '쌈지길', '인사동거리']"
a_a000277,"['국립현대미술관 덕수궁관', '창경궁', '창덕궁', '덕수궁', '창덕궁 후원', '창덕궁 돈화문', '덕수궁돌담길', 'CGV 용산아이파크몰', '용산역사박물관', '서울우리소리박물관']"
a_a018074,"['광림아트센터 BBCH홀', '도산근린공원', 'CGV 압구정 본관', '압구정로데오거리', 'Apple 가로수길']"
a_a004431,"['뚝섬한강공원', '커먼그라운드']"
a_a003282,['테르메덴']
a_a010475,"['송도센트럴파크 웨스트보트하우스', '송도센트럴파크 이스트보트하우스', '월미산', '송도센트럴파크', '쉐라톤그랜드 인천호텔 6층 수영장', '센트럴공원수상택시', '월미테마파크', '월미공원', '솔찬공원', '한국이민사박물관']"
a_a006278,"['양화한강공원', '선유도공원', '난지한강공원', '하늘공원', '하늘공원 메타세콰이어길', '노을공원']"
a_a000618,"['국립중앙박물관', '용산가족공원', 'CGV 용산아이파크몰', '용산역사박물관', '국립한글박물관', '아이파크몰', '문화역서울284']"
a_a004497,"['아쿠아필드 하남', '남한산성둘레길 2코스', '남한산성둘레길 1코스', '남한산성', '하남유니온파크', '남한산성 행궁', '스타필드 하남', '남한산성 서문 전망대']"
a_a005182,"['탑골공원', '익선동한옥거리', '광장시장']"
