TRAVEL_ID,recommend_result_place
a_a006728,"['호텔라엘르', '고양어린이박물관', '라이브러리스테이 지지향', '정발산', '라페스타', '일산호수공원', '아쿠아필드 고양', '남원추어탕', '더티트렁크', '차이홍']"
a_a010544,"['호텔라엘르', '고양어린이박물관', '남원추어탕', '아쿠아필드 고양', '행주산성역사공원', '중남미문화원', '스타필드 고양', '창릉천', '원당시장', '화정역광장']"
a_a001405,"['리버레인', 'M&M펜션', '스테이온디엣지 풀램핑', '남이섬리베라펜션', '인터라켄펜션', '마이다스호텔&리조트', '진루아쏘', '하이팰리스 풀빌라펜션', '골든트리', '남이섬꼬꼬춘천닭갈비']"
a_a005503,"['서울숲', nan, '팀호완 삼성점', '서울 선릉과 정릉', '서울숲스테이', '서울숲카페거리', '섬세이 테라리움', '디뮤지엄', '코엑스', '메가박스 성수']"
a_a018188,"['영원식당', '서울세계불꽃축제', '켄싱턴호텔 여의도', '페어몬트 앰배서더 서울', '코트야드 바이메리어트 서울타임스퀘어', '스시코하루', '카페노티드 여의도IFC점', '콘래드 서울', '여의도한강공원', '타임스퀘어']"
a_a001129,"['뉴서울호텔', '오제제', '청계광장', '코리아나호텔']"
a_a006668,"['갈릴리농원 본관', '국물없는우동', '엘리펀트플라잉', '헤이리무장애노을숲길', '장릉', '오두산통일전망대', '잇츠콜라박물관', '헤이리예술마을', '통일동산두부마을', '류재은베이커리 본점']"
a_a018209,['검단산']
a_a006101,"['스타벅스 송파KT점', nan, '설빙 석촌호수동호점', '서울스카이', '송리단길', '롯데시네마 월드타워', '부탄츄', '소피텔 앰배서더 서울', '석촌호수 동호', '롯데월드아쿠아리움']"
a_a005593,"[nan, '좋은씨앗', '센터마크호텔', '안녕인사동', '인사동 문화의거리', '나인트리프리미어호텔 인사동', '뮤직컴플렉스서울', '쌈지길', '인사동거리', '명동칼국수']"
a_a000277,"['창덕궁 후원', '창덕궁 돈화문', '국립현대미술관 덕수궁관', '창경궁', '덕수궁', '용산역사박물관', 'CGV 용산아이파크몰', '창덕궁', '아이파크몰', '루시카토베이크카페 용산아이파크몰']"
a_a018074,"['도산맘마', '벙커컴퍼니 압구정점', '키친마이야르', '새들러하우스', '광림아트센터 BBCH홀', '마일스톤커피', '안다즈 서울강남', '안테룸 서울', '압구정로데오거리', '런던베이글뮤지엄 도산점']"
a_a004431,"['뚝섬한강공원', '커먼그라운드', '호텔케이월드']"
a_a003282,['테르메덴']
a_a010475,"['전라도대왕조개구이랑칼국수', '인천 개항장문화재야행', '안스베이커리 송도점', '월미도레미', '인천환경공단 송도스포츠파크 캠핑장', '송도센트럴파크 웨스트보트하우스', '쉐라톤그랜드 인천호텔 6층 수영장', '쉐라톤그랜드인천호텔 피스트', '쉐라톤그랜드 인천호텔 22층 클럽라운지', '베니키아 월미도 더 블리스호텔']"
a_a006278,"['난지한강공원', '선유도공원', '양화한강공원', '하늘공원', '하늘공원 메타세콰이어길', '노을공원']"
a_a000618,"['스타벅스 서울역사점', '용산역사박물관', '국립중앙박물관', '국립한글박물관', 'CGV 용산아이파크몰', '아이파크몰', '용산가족공원', '독립밀방 서울역점', '서가앤쿡 KTX서울역사점', '문화역서울284']"
a_a004497,"['남한산성 서문 전망대', '몽쥬이에', '남한산성둘레길 1코스', '남한산성 행궁', '스타필드 하남', '남한산성둘레길 2코스', '남한산성', '반월카페', '아쿠아필드 하남', '청와정 카페&펜션']"
a_a005182,"['크래프트루', '이비스앰배서더호텔 인사동', '원조누드치즈김밥', '치앙마이방콕', '익선애뜻', '익선동한옥거리', '광장시장', '담솥 익선직영점', '탑골공원']"
a_a002761,"['모네하우스펜션', '제이드펜션', '남이섬리베라펜션', '골든트리', '남이섬꼬꼬춘천닭갈비', 'W지우리조트', '샘이플펜션', '더플래츠', '남이섬', '자라섬 남도']"
a_a005650,['라마다앙코르바이윈덤 김포한강호텔']
a_a001244,"['안스베이커리 송도점', '인천환경공단 송도스포츠파크 캠핑장', '쉐라톤그랜드 인천호텔 6층 수영장', '송도센트럴파크 웨스트보트하우스', '쉐라톤그랜드인천호텔 피스트', '쉐라톤그랜드 인천호텔 22층 클럽라운지', '오크밸리리조트 골프콘도B동', '쉐라톤그랜드 인천호텔', '배론성지', '소금산출렁다리']"
a_a005324,"['드림게스트하우스', '남산', '빌라커피', '남산서울타워', '남산공원 N서울타워', '남대문시장', '중앙식당', '머스트스테이호텔 명동점', '케이팝하우스']"
a_a002979,"['아리랑힐호텔 동대문', '광장시장 전골목']"
a_a009817,"['광화문광장 이순신 장군 동상', '광화문', '광화문광장 세종대왕동상', '국립고궁박물관', '경복궁', '국립민속박물관', '스타벅스 광화문점', '청와대 정문', '천주교서울대교구 주교좌 명동대성당', '광화문광장']"
a_a004178,"['테르메덴', '관고전통시장']"
a_a006562,"['청수당 해림', '곤지암리조트 L빌리지', '곤지암리조트', '곤지암리조트 East빌리지', '코트야드 바이 메리어트 수원', '파리바게뜨 광교중흥점', '신대호수', '광교호수공원', '곤지암루지360', '갠지스']"
a_a005139,"['롯데시네마 월드타워', '롯데호텔월드', '시그니엘 서울', '상하이', '잠실종합운동장 올림픽주경기장', '잠실한강공원', '롯데월드 샤롯데씨어터', '롯데월드 어드벤처', '잠실종합운동장 잠실야구장', '스시애']"
a_a005193,"[nan, '제부도해수욕장', '서해랑제부도해상케이블카 제부승강장', '서해랑제부도해상케이블카 전곡승강장', '물레방아', '제부도', '제부도 빨간등대', '제부비치콘도', '제부도 워터워크', '펜션J하우스']"
a_a006750,"['재인폭포', '임진강댑싸리공원', '연천재인폭포 오토캠핑장']"
a_a014948,"[nan, '세종문화회관 대극장', '머큐어 앰배서더 서울 홍대', '서울세계불꽃축제', '스시코하루', '페어몬트 앰배서더 서울', '켄싱턴호텔 여의도', '올빛 게스트하우스', '카페노티드 여의도IFC점', '영원식당']"
a_a000056,"['수원화성 연무대 관광안내소', '수원시립 아이파크미술관', '르노모텔', '호텔달', '도이창커피농장', '탑클라우드호텔 수원점', '버터북 행궁점', '수원월드컵경기장', '태화장 본점', '하쿠']"
a_a015245,"['에버랜드 로스트밸리', '캐리비안베이', '에버랜드 아마존익스프레스', '호암미술관', '호텔썬스테이', '에버랜드 정문', '에버랜드 판다월드', '골든튤립에버 용인호텔', '어로프슬라이스피스', '오오츄']"
a_a004767,"['리디자인호텔', '보정동카페거리', '한국민속촌', '삼동소바', '백남준아트센터', '경기도박물관', '경기도어린이박물관', 'AK& 기흥', '경희대학교 국제캠퍼스', '라벤더펜션']"
a_a018006,"['드림게스트하우스', '동대문디자인플라자', '남대문시장', '중앙식당', '머스트스테이호텔 명동점', '케이팝하우스']"
a_a006026,"['갈릴리농원 본관', '국물없는우동', '엘리펀트플라잉', '헤이리무장애노을숲길', '오두산통일전망대', '잇츠콜라박물관', '장릉', '헤이리예술마을', '통일동산두부마을', '류재은베이커리 본점']"
a_a007058,"['아오이토리', '안녕낯선사람', '또보겠지떡볶이집 호호시스터점', '라이즈오토그래프컬렉션', '모센즈스위트', '홍대앞걷고싶은거리', '홍대패션거리', '홍대예술의거리', 'KT&G상상마당 홍대']"
a_a007894,"['수원화성 연무대 관광안내소', '수원시립 아이파크미술관', '르노모텔', '호텔달', '도이창커피농장', '버터북 행궁점', '수원월드컵경기장', '태화장 본점', '하쿠', '로마경양식']"
a_a018008,"['백운호수', '백운메밀', '이터스 롯데타임빌라스점']"
a_a007194,"['안양파빌리온', '안양예술공원', '안양중앙시장', 'CS프리미어호텔']"
a_a005302,"['페어몬트 앰배서더 서울', '카페노티드 여의도IFC점', '서울세계불꽃축제', '켄싱턴호텔 여의도', '스시코하루', '영원식당', '콘래드 서울', '여의도한강공원', '그리츠', '더현대서울']"
a_a002004,"['안성팜랜드', '스타필드 안성', '아쿠아필드 안성']"
a_a002652,"['호텔썬스테이', '캐리비안베이', '에버랜드 아마존익스프레스', '에버랜드 로스트밸리', '에버랜드 정문', '에버랜드 판다월드', '호암미술관', '골든튤립에버 용인호텔', '어로프슬라이스피스', '오오츄']"
a_a004683,"['수원화성 연무대 관광안내소', '수원시립 아이파크미술관', '르노모텔', '호텔달', '도이창커피농장', '버터북 행궁점', '태화장 본점', '수원월드컵경기장', '하쿠', '이나경송탄부대찌개']"
a_a005095,"['벽오동', '도트블랭킷', '서울공예박물관']"
a_a017957,"['수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '하쿠', '수원월드컵경기장', '르노모텔', '도이창커피농장', '버터북 행궁점', '이나경송탄부대찌개', '호텔달', '태화장 본점']"
a_a000407,"['메가박스 성수', '에버랜드 로스트밸리', '광화문광장 이순신 장군 동상', '캐리비안베이', '호텔썬스테이', '에버랜드 아마존익스프레스', '남산', '호암미술관', '빌라커피', '에버랜드 정문']"
a_a004093,
a_a005397,"['벽초지수목원', '마장호수', '마장호수출렁다리', '아티장베이커스 파주점', '레드브릿지']"
a_a007866,"['수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '르노모텔', '호텔달', '도이창커피농장', '버터북 행궁점', '태화장 본점', '수원월드컵경기장', '탑클라우드호텔 수원점', '하쿠']"
a_a000030,"['수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '안스베이커리 송도점', '수원월드컵경기장', '수원KT위즈파크', '송도센트럴파크 웨스트보트하우스', '인천환경공단 송도스포츠파크 캠핑장', '쉐라톤그랜드 인천호텔 6층 수영장', '르노모텔', '도이창커피농장']"
a_a001998,"['수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '탑클라우드호텔 수원점', '도이창커피농장', '버터북 행궁점', '하쿠', '수원월드컵경기장', '르노모텔', '호텔달', '태화장 본점']"
a_a006134,"['캐리비안베이', '호텔썬스테이', '에버랜드 아마존익스프레스', '에버랜드 로스트밸리', '에버랜드 정문', '에버랜드 판다월드', '호암미술관', '골든튤립에버 용인호텔', '어로프슬라이스피스', '오오츄']"
a_a007924,"['마장호수', '벽초지수목원', '마장호수출렁다리', '아티장베이커스 파주점', '레드브릿지']"
b_b006351,"['수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '버터북 행궁점', '수원월드컵경기장', '르노모텔', '도이창커피농장', '하쿠', '호텔달', '태화장 본점', '이나경송탄부대찌개']"
a_a000647,"['혜화곱창', '카페혜화동', '학림다방', '혜화도담']"
a_a001080,"['해밀톤호텔', '헤미안', '테이크호텔', '와이키키', '이태원거리', 'G게스트하우스', '알페도']"
a_a003274,"['정발산', '일산호수공원', '라페스타', '호텔로젠하임', '고양시선인장전시관', '벨라시타', '밤가시공원', '소노캄고양 웨스트타워']"
