TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
a_a006728,6,남,40,5,4,4,5,5,5,5,5,6.0,1,3,"['경기+파주시+문발동', '경기+고양시+덕양구', '경기+고양시+일산동구']"
a_a010544,1,남,40,2,5,2,6,3,3,2,6,1.0,4,0,['경기+고양시+덕양구']
a_a001405,9,여,30,2,1,3,4,1,2,6,3,3.0,4,1,"['경기+가평군+가평읍', '경기+남양주시+다산동', '경기+가평군+청평면']"
a_a005503,1,여,20,3,3,2,4,3,4,5,4,7.0,5,1,"['서울+강남구+삼성동', '서울+성동구+성수동1가']"
a_a018188,4,여,20,3,1,1,4,6,4,3,7,3.0,1,1,"['서울+영등포구+영등포동4가', '서울+영등포구+여의도동']"
a_a001129,22,여,30,3,3,5,2,3,2,2,6,2.0,2,1,['서울+중구+태평로1가']
a_a006668,11,여,30,4,6,3,5,7,6,2,6,1.0,4,2,['경기+파주시+탄현면']
a_a018209,11,여,30,3,5,3,4,5,3,6,3,1.0,2,1,['경기+하남시+배알미동']
a_a006101,23,남,30,2,1,2,3,3,3,3,2,3.0,2,1,"['서울+송파구+송파동', '서울+송파구+신천동']"
a_a005593,1,여,20,5,2,1,2,2,5,1,7,5.0,3,0,['서울+종로구+관훈동']
a_a000277,22,여,20,4,7,1,5,6,1,6,7,1.0,3,1,"['서울+중구+정동', '서울+용산구+한강로3가', '서울+종로구+와룡동']"
a_a018074,1,여,40,2,2,3,2,2,2,3,7,3.0,2,1,['서울+강남구+신사동']
a_a004431,22,여,20,3,3,2,3,2,2,4,7,4.0,1,1,['서울+광진구+자양동']
a_a003282,10,여,30,1,4,2,5,4,4,3,5,2.0,1,4,['경기+이천시+모가면']
a_a010475,1,여,30,2,2,2,3,6,2,7,2,1.0,4,1,"['인천+중구+관동1가', '인천+중구+북성동1가', '인천+연수구+송도동', '서울+강서구+방화동']"
a_a006278,9,남,20,1,2,2,5,6,4,5,7,7.0,6,0,"['서울+마포구+상암동', '서울+영등포구+당산동']"
a_a000618,6,여,30,7,2,7,1,1,7,1,7,3.0,1,1,"['서울+용산구+용산동6가', '서울+용산구+한강로3가', '서울+중구+봉래동2가']"
a_a004497,1,남,20,2,2,2,3,5,4,6,7,2.0,1,1,"['경기+하남시+신장동', '경기+광주시+남한산성면']"
a_a005182,4,남,20,4,2,1,5,2,3,4,4,2.0,10,0,"['서울+종로구+익선동', '서울+종로구+예지동', '서울+종로구+종로2가']"
a_a002761,3,남,40,3,1,2,3,7,4,2,7,2.0,2,1,"['강원+춘천시+남산면', '경기+가평군+가평읍', '경기+가평군+상면']"
a_a005650,1,여,50,5,5,6,2,2,3,2,5,3.0,4,1,['경기+김포시+고촌읍']
a_a001244,1,여,20,2,1,1,1,6,7,1,7,4.0,2,2,"['충북+제천시+봉양읍', '강원+원주시+지정면', '인천+연수구+송도동']"
a_a005324,21,여,60,2,4,6,1,1,7,1,7,1.0,4,1,"['서울+중구+남창동', '서울+용산구+용산동2가']"
