TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
a_a006728,벨라시타,경기,고양시,일산동구,4.0,4.0,4.0,4.0,120.0,1,a006728,6,남,40,9,5,4,4,5,5,5,5,5,6.0,1,3
a_a006728,이케아 고양점,경기,고양시,덕양구,4.0,3.0,4.0,4.0,60.0,1,a006728,6,남,40,9,5,4,4,5,5,5,5,5,6.0,1,3
a_a006728,지혜의숲,경기,파주시,문발동,3.0,4.0,4.0,4.0,60.0,1,a006728,6,남,40,9,5,4,4,5,5,5,5,5,6.0,1,3
a_a010544,행주산성,경기,고양시,덕양구,2.0,4.0,4.0,4.0,60.0,1,a010544,1,남,40,5,2,5,2,6,3,3,2,6,1.0,4,0
a_a001405,쁘띠프랑스,경기,가평군,청평면,6.0,5.0,5.0,5.0,120.0,0,a001405,9,여,30,4,2,1,3,4,1,2,6,3,3.0,4,1
a_a001405,현대프리미엄아울렛 스페이스원,경기,남양주시,다산동,4.0,5.0,5.0,5.0,90.0,0,a001405,9,여,30,4,2,1,3,4,1,2,6,3,3.0,4,1
a_a001405,자라섬,경기,가평군,가평읍,8.0,5.0,5.0,5.0,180.0,0,a001405,9,여,30,4,2,1,3,4,1,2,6,3,3.0,4,1
a_a005503,현대백화점 무역센터점,서울,강남구,삼성동,4.0,4.0,4.0,4.0,90.0,0,a005503,1,여,20,4,3,3,2,4,3,4,5,4,7.0,5,1
a_a005503,스타필드 코엑스몰,서울,강남구,삼성동,4.0,5.0,5.0,5.0,30.0,0,a005503,1,여,20,4,3,3,2,4,3,4,5,4,7.0,5,1
a_a005503,서울숲,서울,성동구,성수동1가,1.0,4.0,5.0,5.0,90.0,0,a005503,1,여,20,4,3,3,2,4,3,4,5,4,7.0,5,1
a_a018188,타임스퀘어,서울,영등포구,영등포동4가,4.0,3.0,3.0,3.0,60.0,0,a018188,4,여,20,4,3,1,1,4,6,4,3,7,3.0,1,1
a_a018188,더현대서울,서울,영등포구,여의도동,4.0,3.0,3.0,3.0,210.0,0,a018188,4,여,20,4,3,1,1,4,6,4,3,7,3.0,1,1
a_a001129,청계광장,서울,중구,태평로1가,1.0,4.0,4.0,4.0,120.0,1,a001129,22,여,30,4,3,3,5,2,3,2,2,6,2.0,2,1
a_a006668,파주프리미엄아울렛,경기,파주시,탄현면,4.0,4.0,5.0,5.0,120.0,1,a006668,11,여,30,8,4,6,3,5,7,6,2,6,1.0,4,2
a_a018209,검단산,경기,하남시,배알미동,7.0,4.0,3.0,4.0,90.0,0,a018209,11,여,30,4,3,5,3,4,5,3,6,3,1.0,2,1
a_a006101,석촌호수산책길,서울,송파구,송파동,7.0,4.0,4.0,4.0,60.0,1,a006101,23,남,30,6,2,1,2,3,3,3,3,2,3.0,2,1
a_a006101,석촌호수산책길,서울,송파구,송파동,7.0,4.0,4.0,4.0,60.0,1,a006101,23,남,30,6,2,1,2,3,3,3,3,2,3.0,2,1
a_a006101,롯데월드타워&롯데월드몰,서울,송파구,신천동,4.0,4.0,4.0,4.0,30.0,1,a006101,23,남,30,6,2,1,2,3,3,3,3,2,3.0,2,1
a_a005593,인사동 문화의거리,서울,종로구,관훈동,4.0,4.0,3.0,3.0,90.0,0,a005593,1,여,20,3,5,2,1,2,2,5,1,7,5.0,3,0
a_a000277,덕수궁돌담길,서울,중구,정동,1.0,5.0,5.0,5.0,30.0,0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a000277,CGV 용산아이파크몰,서울,용산구,한강로3가,3.0,5.0,5.0,5.0,180.0,0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a000277,서울우리소리박물관,서울,종로구,와룡동,2.0,5.0,5.0,5.0,30.0,0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a000277,창덕궁,서울,종로구,와룡동,2.0,5.0,5.0,5.0,30.0,0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a018074,압구정로데오거리,서울,강남구,신사동,4.0,4.0,4.0,4.0,120.0,1,a018074,1,여,40,5,2,2,3,2,2,2,3,7,3.0,2,1
a_a004431,뚝섬한강공원,서울,광진구,자양동,7.0,5.0,5.0,5.0,60.0,0,a004431,22,여,20,2,3,3,2,3,2,2,4,7,4.0,1,1
a_a003282,테르메덴,경기,이천시,모가면,6.0,4.0,4.0,4.0,570.0,0,a003282,10,여,30,7,1,4,2,5,4,4,3,5,2.0,1,4
a_a010475,일본풍거리,인천,중구,관동1가,4.0,4.0,4.0,4.0,60.0,0,a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1
a_a010475,월미도,인천,중구,북성동1가,1.0,5.0,4.0,4.0,150.0,1,a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1
a_a010475,송도센트럴파크,인천,연수구,송도동,7.0,5.0,4.0,4.0,90.0,0,a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1
a_a010475,롯데백화점 김포공항점,서울,강서구,방화동,4.0,5.0,5.0,5.0,270.0,1,a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1
a_a006278,선유도공원,서울,영등포구,당산동,1.0,4.0,5.0,4.0,120.0,1,a006278,9,남,20,7,1,2,2,5,6,4,5,7,7.0,6,0
a_a006278,하늘공원,서울,마포구,상암동,1.0,4.0,5.0,4.0,90.0,0,a006278,9,남,20,7,1,2,2,5,6,4,5,7,7.0,6,0
a_a006278,하늘공원,서울,마포구,상암동,1.0,5.0,5.0,5.0,60.0,0,a006278,9,남,20,7,1,2,2,5,6,4,5,7,7.0,6,0
a_a000618,문화역서울284,서울,중구,봉래동2가,2.0,5.0,5.0,5.0,90.0,0,a000618,6,여,30,4,7,2,7,1,1,7,1,7,3.0,1,1
a_a000618,국립중앙박물관,서울,용산구,용산동6가,2.0,5.0,5.0,5.0,180.0,1,a000618,6,여,30,4,7,2,7,1,1,7,1,7,3.0,1,1
a_a000618,CGV 용산아이파크몰,서울,용산구,한강로3가,3.0,5.0,5.0,5.0,180.0,1,a000618,6,여,30,4,7,2,7,1,1,7,1,7,3.0,1,1
a_a004497,스타필드 하남,경기,하남시,신장동,4.0,3.0,2.0,3.0,120.0,0,a004497,1,남,20,3,2,2,2,3,5,4,6,7,2.0,1,1
a_a004497,남한산성,경기,광주시,남한산성면,2.0,2.0,5.0,4.0,60.0,1,a004497,1,남,20,3,2,2,2,3,5,4,6,7,2.0,1,1
a_a005182,탑골공원,서울,종로구,종로2가,1.0,5.0,5.0,5.0,30.0,0,a005182,4,남,20,4,4,2,1,5,2,3,4,4,2.0,10,0
a_a005182,광장시장,서울,종로구,예지동,4.0,5.0,5.0,5.0,30.0,0,a005182,4,남,20,4,4,2,1,5,2,3,4,4,2.0,10,0
a_a005182,익선동한옥거리,서울,종로구,익선동,4.0,3.0,3.0,3.0,30.0,1,a005182,4,남,20,4,4,2,1,5,2,3,4,4,2.0,10,0
a_a002761,가평잣고을시장,경기,가평군,가평읍,4.0,5.0,4.0,5.0,30.0,0,a002761,3,남,40,4,3,1,2,3,7,4,2,7,2.0,2,1
a_a002761,아침고요수목원,경기,가평군,상면,1.0,4.0,5.0,5.0,30.0,0,a002761,3,남,40,4,3,1,2,3,7,4,2,7,2.0,2,1
a_a002761,남이섬,강원,춘천시,남산면,1.0,5.0,5.0,5.0,150.0,1,a002761,3,남,40,4,3,1,2,3,7,4,2,7,2.0,2,1
a_a005650,현대프리미엄아울렛 김포점,경기,김포시,고촌읍,4.0,4.0,2.0,2.0,90.0,1,a005650,1,여,50,4,5,5,6,2,2,3,2,5,3.0,4,1
a_a001244,배론성지,충북,제천시,봉양읍,2.0,5.0,5.0,5.0,60.0,0,a001244,1,여,20,6,2,1,1,1,6,7,1,7,4.0,2,2
a_a001244,뮤지엄산,강원,원주시,지정면,3.0,5.0,5.0,5.0,120.0,0,a001244,1,여,20,6,2,1,1,1,6,7,1,7,4.0,2,2
a_a001244,트리플스트리트,인천,연수구,송도동,4.0,5.0,5.0,5.0,90.0,1,a001244,1,여,20,6,2,1,1,1,6,7,1,7,4.0,2,2
a_a005324,남산공원 N서울타워,서울,용산구,용산동2가,1.0,3.0,3.0,3.0,60.0,0,a005324,21,여,60,5,2,4,6,1,1,7,1,7,1.0,4,1
