TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
a_a008173,DMYK,서울,종로구,숭인동,24.0,4.0,4.0,4.0,420.0,0,a008173,1,남,30,4,1,1,1,7,1,1,7,1,7.0,3,0
a_a001129,스탠포드호텔 명동,서울,중구,남대문로2가,24.0,4.0,4.0,4.0,150.0,0,a001129,22,여,30,4,3,3,5,2,3,2,2,6,2.0,2,1
a_a001129,스탠포드호텔 명동,서울,중구,남대문로2가,24.0,4.0,4.0,4.0,90.0,0,a001129,22,여,30,4,3,3,5,2,3,2,2,6,2.0,2,1
a_a006101,소피텔 앰배서더 서울,서울,송파구,신천동,24.0,5.0,5.0,5.0,210.0,0,a006101,23,남,30,6,2,1,2,3,3,3,3,2,3.0,2,1
a_a006101,소피텔 앰배서더 서울,서울,송파구,신천동,24.0,5.0,5.0,5.0,30.0,1,a006101,23,남,30,6,2,1,2,3,3,3,3,2,3.0,2,1
a_a000637,밀레니엄힐튼 서울,서울,중구,남대문로5가,24.0,5.0,5.0,5.0,390.0,0,a000637,23,남,30,6,1,1,6,1,2,2,2,5,2.0,1,2
a_a000637,밀레니엄힐튼 서울,서울,중구,남대문로5가,24.0,5.0,5.0,5.0,900.0,0,a000637,23,남,30,6,1,1,6,1,2,2,2,5,2.0,1,2
a_a000277,월하여관,서울,종로구,와룡동,24.0,5.0,5.0,5.0,180.0,0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a000428,안다즈 서울강남,서울,강남구,신사동,24.0,5.0,5.0,5.0,120.0,1,a000428,23,남,30,9,6,7,6,3,6,6,7,4,2.0,1,3
a_a000428,안다즈 서울강남,서울,강남구,신사동,24.0,5.0,5.0,5.0,60.0,0,a000428,23,남,30,9,6,7,6,3,6,6,7,4,2.0,1,3
a_a000428,안다즈 서울강남,서울,강남구,신사동,24.0,5.0,5.0,5.0,60.0,0,a000428,23,남,30,9,6,7,6,3,6,6,7,4,2.0,1,3
a_a010475,베스트웨스턴 하버파크호텔,인천,중구,항동3가,24.0,5.0,5.0,5.0,30.0,0,a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1
a_a010475,베스트웨스턴 하버파크호텔,인천,중구,항동3가,24.0,5.0,5.0,5.0,120.0,0,a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1
a_a002979,아리랑힐호텔 동대문,서울,성북구,동선동4가,24.0,5.0,5.0,5.0,660.0,1,a002979,1,여,30,3,5,1,3,4,2,6,1,2,1.0,1,1
a_a002979,아리랑힐호텔 동대문,서울,성북구,동선동4가,24.0,5.0,5.0,5.0,330.0,1,a002979,1,여,30,3,5,1,3,4,2,6,1,2,1.0,1,1
a_a001264,안다즈 서울강남,서울,강남구,신사동,24.0,5.0,5.0,5.0,210.0,1,a001264,23,남,30,5,6,4,3,3,5,5,3,3,2.0,2,1
a_a001264,안다즈 서울강남,서울,강남구,신사동,24.0,4.0,4.0,4.0,120.0,1,a001264,23,남,30,5,6,4,3,3,5,5,3,3,2.0,2,1
a_a000780,테이크호텔,경기,광명시,일직동,24.0,5.0,5.0,5.0,240.0,1,a000780,23,남,20,2,7,1,5,1,1,5,1,4,3.0,2,2
a_a000780,테이크호텔,경기,광명시,일직동,24.0,1.0,5.0,5.0,60.0,1,a000780,23,남,20,2,7,1,5,1,1,5,1,4,3.0,2,2
a_a000342,로제펜션,경기,가평군,가평읍,24.0,5.0,5.0,5.0,1170.0,0,a000342,28,여,30,3,2,3,1,5,2,2,6,2,1.0,2,1
a_a000342,로제펜션,경기,가평군,가평읍,24.0,5.0,4.0,4.0,480.0,0,a000342,28,여,30,3,2,3,1,5,2,2,6,2,1.0,2,1
a_a001927,레스케이프호텔,서울,중구,회현동1가,24.0,5.0,4.0,4.0,240.0,0,a001927,4,여,20,1,5,7,2,4,3,4,7,2,8.0,5,1
a_a001927,레스케이프호텔,서울,중구,회현동1가,24.0,4.0,4.0,4.0,120.0,0,a001927,4,여,20,1,5,7,2,4,3,4,7,2,8.0,5,1
a_a002219,서울앤호텔 동대문,서울,종로구,숭인동,24.0,3.0,2.0,2.0,240.0,0,a002219,13,남,40,5,6,5,6,5,6,4,3,3,1.0,1,0
a_a003229,골든튤립에버 용인호텔,경기,용인시,처인구,24.0,4.0,3.0,3.0,120.0,0,a003229,2,남,30,5,2,2,1,1,2,6,2,6,1.0,6,2
a_a001039,지지향게스트하우스,경기,파주시,문발동,24.0,2.0,2.0,2.0,240.0,0,a001039,11,남,30,5,4,2,3,2,1,3,4,5,8.0,4,2
a_a001039,지지향게스트하우스,경기,파주시,문발동,24.0,2.0,2.0,2.0,120.0,0,a001039,11,남,30,5,4,2,3,2,1,3,4,5,8.0,4,2
a_a017256,아리아호텔,서울,강동구,천호동,24.0,4.0,4.0,4.0,60.0,0,a017256,6,남,20,4,2,2,2,5,6,6,7,6,1.0,1,3
a_a001187,토요코인호텔 인천부평점,인천,부평구,부평동,24.0,5.0,5.0,5.0,30.0,0,a001187,6,남,40,9,2,1,4,2,2,4,6,2,2.0,3,0
a_a000655,뉴서울호텔,서울,중구,태평로1가,24.0,3.0,2.0,2.0,300.0,1,a000655,1,여,20,4,3,2,2,4,5,3,6,5,9.0,4,2
a_a000655,뉴서울호텔,서울,중구,태평로1가,24.0,3.0,2.0,3.0,60.0,0,a000655,1,여,20,4,3,2,2,4,5,3,6,5,9.0,4,2
a_a002830,월미도해월관광호텔,인천,중구,북성동1가,24.0,3.0,2.0,2.0,90.0,0,a002830,9,남,30,2,1,1,1,1,4,1,5,4,8.0,2,2
a_a002830,월미도해월관광호텔,인천,중구,북성동1가,24.0,3.0,2.0,2.0,30.0,1,a002830,9,남,30,2,1,1,1,1,4,1,5,4,8.0,2,2
a_a003135,곤지암리조트,경기,광주시,도척면,24.0,5.0,5.0,5.0,30.0,1,a003135,2,여,30,6,3,2,2,3,3,4,5,4,3.0,2,2
a_a001283,나인트리프리미어호텔 서울판교,경기,성남시,수정구,24.0,5.0,5.0,5.0,300.0,0,a001283,21,남,30,5,1,1,3,1,4,6,7,7,5.0,2,0
a_a001283,나인트리프리미어호텔 서울판교,경기,성남시,수정구,24.0,5.0,5.0,5.0,90.0,0,a001283,21,남,30,5,1,1,3,1,4,6,7,7,5.0,2,0
a_a012482,켄싱턴호텔 여의도,서울,영등포구,여의도동,24.0,5.0,4.0,4.0,90.0,0,a012482,1,남,30,5,4,3,2,3,6,3,4,5,4.0,2,0
a_a002530,헤르메스호텔,경기,용인시,처인구,24.0,5.0,5.0,5.0,90.0,0,a002530,2,여,20,1,5,5,4,5,4,4,6,6,1.0,8,1
a_a003399,코트야드 바이 메리어트 수원,경기,수원시,영통구,24.0,5.0,5.0,5.0,180.0,1,a003399,1,여,20,2,4,2,3,2,3,2,5,4,3.0,2,1
a_a003399,코트야드 바이 메리어트 수원,경기,수원시,영통구,24.0,4.0,3.0,3.0,60.0,1,a003399,1,여,20,2,4,2,3,2,3,2,5,4,3.0,2,1
a_a003399,코트야드 바이 메리어트 수원,경기,수원시,영통구,24.0,5.0,3.0,3.0,180.0,1,a003399,1,여,20,2,4,2,3,2,3,2,5,4,3.0,2,1
a_a003399,코트야드 바이 메리어트 수원,경기,수원시,영통구,24.0,4.0,2.0,3.0,120.0,0,a003399,1,여,20,2,4,2,3,2,3,2,5,4,3.0,2,1
a_a000265,소피텔 앰배서더 서울,서울,송파구,신천동,24.0,5.0,5.0,5.0,120.0,1,a000265,23,남,30,5,2,2,3,2,2,4,5,7,9.0,8,1
a_a000265,소피텔 앰배서더 서울,서울,송파구,신천동,24.0,5.0,5.0,5.0,60.0,1,a000265,23,남,30,5,2,2,3,2,2,4,5,7,9.0,8,1
a_a000789,비스타워커힐 서울,서울,광진구,광장동,24.0,5.0,5.0,5.0,510.0,0,a000789,4,여,20,2,4,1,4,1,1,2,7,3,2.0,3,0
a_a001573,호텔도노,경기,수원시,팔달구,24.0,5.0,5.0,5.0,150.0,0,a001573,3,여,30,6,3,2,3,4,2,2,5,7,8.0,2,1
a_a002011,센터마크호텔,서울,종로구,관훈동,24.0,3.0,3.0,3.0,780.0,0,a002011,3,여,30,7,3,3,3,5,5,6,6,3,7.0,5,1
a_a002011,센터마크호텔,서울,종로구,관훈동,24.0,3.0,3.0,3.0,60.0,0,a002011,3,여,30,7,3,3,3,5,5,6,6,3,7.0,5,1
a_a001778,소노휴 양평,경기,양평군,개군면,24.0,4.0,3.0,4.0,540.0,1,a001778,3,남,30,3,2,2,1,3,2,2,2,2,1.0,8,4
a_a003068,신라스테이 천안,충남,천안시,서북구,24.0,5.0,5.0,5.0,60.0,0,a003068,7,남,30,5,4,4,2,4,4,2,5,6,1.0,5,0
a_a011212,퀸타운호텔,경기,고양시,일산동구,24.0,5.0,5.0,5.0,150.0,0,a011212,27,여,30,4,3,2,2,3,5,5,6,6,3.0,6,1
a_a011212,퀸타운호텔,경기,고양시,일산동구,24.0,3.0,3.0,3.0,60.0,0,a011212,27,여,30,4,3,2,2,3,5,5,6,6,3.0,6,1
a_a006054,리버모텔,경기,남양주시,와부읍,24.0,5.0,5.0,5.0,420.0,0,a006054,24,남,20,3,5,1,2,4,5,4,2,3,7.0,6,1
a_a003242,호텔어반,서울,송파구,방이동,24.0,4.0,4.0,4.0,90.0,0,a003242,2,남,20,1,4,2,1,3,6,6,1,7,3.0,1,1
a_a000933,숙소,경기,용인시,기흥구,24.0,3.0,3.0,3.0,480.0,0,a000933,1,남,30,4,4,2,1,3,4,2,2,4,2.0,1,3
a_a000933,숙소,경기,용인시,기흥구,24.0,4.0,3.0,3.0,1080.0,0,a000933,1,남,30,4,4,2,1,3,4,2,2,4,2.0,1,3
a_a011803,클럽케이서울,서울,강남구,삼성동,24.0,5.0,5.0,5.0,60.0,1,a011803,10,남,30,1,7,1,3,7,4,4,6,2,1.0,3,0
a_a011803,클럽케이서울,서울,강남구,삼성동,24.0,5.0,5.0,5.0,210.0,1,a011803,10,남,30,1,7,1,3,7,4,4,6,2,1.0,3,0
a_a003124,킨텍스바이케이트리,경기,고양시,일산서구,24.0,3.0,3.0,3.0,60.0,0,a003124,4,여,20,5,6,5,3,3,5,5,5,5,10.0,2,1
a_a003124,킨텍스바이케이트리,경기,고양시,일산서구,24.0,2.0,2.0,1.0,180.0,0,a003124,4,여,20,5,6,5,3,3,5,5,5,5,10.0,2,1
a_a003124,킨텍스바이케이트리,경기,고양시,일산서구,24.0,3.0,2.0,1.0,240.0,0,a003124,4,여,20,5,6,5,3,3,5,5,5,5,10.0,2,1
a_a000864,자라섬캠핑장,경기,가평군,가평읍,24.0,5.0,5.0,5.0,150.0,0,a000864,1,남,40,9,2,4,2,5,2,3,2,2,7.0,2,1
