TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
a_a001226,전주식당,인천,미추홀구,숭의동,11.0,4.0,4.0,4.0,30.0,0,a001226,6,여,30,4,3,2,3,6,4,3,7,1,8.0,4,0
a_a010193,미투,인천,중구,북성동1가,11.0,4.0,4.0,4.0,30.0,0,a010193,4,남,40,8,4,3,3,4,4,4,3,5,7.0,2,0
a_a010193,연경 차이나타운본점,인천,중구,북성동3가,11.0,4.0,4.0,4.0,30.0,0,a010193,4,남,40,8,4,3,3,4,4,4,3,5,7.0,2,0
a_a000056,장안통닭,경기,수원시,팔달구,11.0,5.0,4.0,4.0,60.0,0,a000056,3,여,50,6,6,4,3,4,4,4,2,2,1.0,1,0
a_a000018,갈비1987,경기,포천시,이동면,11.0,4.0,3.0,4.0,120.0,0,a000018,8,여,40,4,2,2,2,5,3,1,3,4,1.0,1,3
a_a004683,행궁빙수,경기,수원시,팔달구,11.0,3.0,3.0,3.0,30.0,0,a004683,3,남,40,7,1,1,3,5,2,5,5,5,8.0,1,4
a_a004683,진미통닭,경기,수원시,팔달구,11.0,4.0,4.0,4.0,30.0,0,a004683,3,남,40,7,1,1,3,5,2,5,5,5,8.0,1,4
a_a002830,관동오리진,인천,중구,관동1가,11.0,5.0,5.0,5.0,60.0,0,a002830,9,남,30,2,1,1,1,1,4,1,5,4,8.0,2,2
a_a002830,청춘조개 월미도직영점,인천,중구,북성동1가,11.0,3.0,3.0,3.0,90.0,0,a002830,9,남,30,2,1,1,1,1,4,1,5,4,8.0,2,2
a_a002830,신승반점 본점,인천,중구,북성동2가,11.0,5.0,5.0,5.0,90.0,0,a002830,9,남,30,2,1,1,1,1,4,1,5,4,8.0,2,2
a_a003692,조무락닭갈비,경기,가평군,가평읍,11.0,4.0,4.0,4.0,90.0,0,a003692,1,여,50,3,1,1,1,4,3,4,2,5,3.0,3,1
a_a003692,이디야커피 가평역점,경기,가평군,가평읍,11.0,5.0,4.0,4.0,30.0,1,a003692,1,여,50,3,1,1,1,4,3,4,2,5,3.0,3,1
a_a004915,일산칼국수 본점,경기,고양시,일산동구,11.0,5.0,5.0,5.0,30.0,1,a004915,21,여,40,7,3,5,1,3,3,1,5,1,6.0,1,0
a_a003510,유치회관,경기,수원시,팔달구,11.0,5.0,4.0,5.0,30.0,0,a003510,3,여,30,4,2,2,2,4,4,2,2,4,1.0,2,1
a_a018116,테라로사 서종점,경기,양평군,서종면,11.0,3.0,3.0,3.0,60.0,0,a018116,1,남,60,3,2,4,2,3,3,3,3,6,1.0,1,1
a_a004807,동동국수 본점,경기,광주시,곤지암읍,11.0,4.0,4.0,4.0,60.0,0,a004807,21,남,30,6,2,1,1,3,6,3,6,7,2.0,1,3
a_a004807,태화산명가,경기,광주시,곤지암읍,11.0,4.0,4.0,4.0,30.0,0,a004807,21,남,30,6,2,1,1,3,6,3,6,7,2.0,1,3
a_a006803,행궁빙수,경기,수원시,팔달구,11.0,5.0,5.0,5.0,60.0,0,a006803,3,여,20,4,3,2,2,6,6,3,6,5,7.0,14,0
a_a010215,맥도날드 고양삼송DT점,경기,고양시,덕양구,11.0,4.0,5.0,5.0,30.0,0,a010215,6,여,40,1,2,3,5,3,5,5,5,4,7.0,6,1
a_a006449,포레스트아웃팅스 송도점,인천,연수구,옥련동,11.0,5.0,5.0,5.0,240.0,0,a006449,1,여,30,6,3,2,1,1,4,4,3,4,1.0,4,1
a_a014856,남이섬안반지닭갈비 1호점,경기,가평군,가평읍,11.0,5.0,5.0,5.0,30.0,0,a014856,1,남,30,5,5,3,3,4,3,6,5,5,1.0,1,0
a_a000172,동화가든 본점,강원,강릉시,초당동,11.0,4.0,1.0,3.0,120.0,0,a000172,2,남,30,4,7,1,1,1,7,7,2,4,1.0,1,0
a_a006232,원조이동김미자할머니갈비,경기,포천시,이동면,11.0,5.0,5.0,5.0,60.0,0,a006232,2,남,20,3,2,2,1,6,3,2,6,2,7.0,1,1
a_a003778,모나미카레,경기,수원시,팔달구,11.0,5.0,5.0,5.0,30.0,0,a003778,3,남,20,5,3,2,2,5,2,5,5,3,7.0,2,0
