TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
a_a002687,벨리노에스호텔,경기,용인시,기흥구,24.0,5.0,5.0,5.0,240.0,0,a002687,4,여,30,6,1,2,1,4,7,2,3,6,3.0,2,1,240.0,5.0,0.0,1.0,5.0
a_a001405,청평파인호텔,경기,가평군,청평면,24.0,5.0,5.0,5.0,180.0,0,a001405,9,여,30,4,2,1,3,4,1,2,6,3,3.0,4,1,180.0,5.0,0.0,1.0,5.0
a_a000338,DMYK,서울,종로구,숭인동,24.0,3.0,3.0,3.0,30.0,0,a000338,1,남,20,5,7,2,3,5,2,5,7,1,3.0,6,1,75.0,3.0,0.0,1.0,3.0
a_a000338,DMYK,서울,종로구,숭인동,24.0,3.0,3.0,3.0,120.0,0,a000338,1,남,20,5,7,2,3,5,2,5,7,1,3.0,6,1,75.0,3.0,0.0,1.0,3.0
a_a011721,스탠포드호텔 명동,서울,중구,남대문로2가,24.0,5.0,5.0,5.0,90.0,0,a011721,4,여,20,1,7,6,6,3,1,4,6,4,7.0,3,2,90.0,5.0,0.0,2.0,5.0
a_a002989,칼봉산자연휴양림,경기,가평군,가평읍,24.0,5.0,5.0,5.0,30.0,0,a002989,5,여,30,1,2,1,4,4,4,4,4,4,2.0,3,2,30.0,5.0,0.0,2.0,5.0
a_a002989,칼봉산자연휴양림 산림문화휴양관,경기,가평군,가평읍,24.0,5.0,5.0,5.0,180.0,0,a002989,5,여,30,1,2,1,4,4,4,4,4,4,2.0,3,2,180.0,5.0,0.0,2.0,5.0
a_a005738,호텔 베르누이 서울,서울,구로구,오류동,24.0,4.0,3.0,3.0,30.0,0,a005738,9,남,30,5,4,3,1,2,4,6,2,5,2.0,3,1,30.0,3.0,0.0,1.0,3.0
a_a005738,소피텔 앰배서더 서울,서울,송파구,신천동,24.0,5.0,5.0,5.0,90.0,1,a005738,9,남,30,5,4,3,1,2,4,6,2,5,2.0,3,1,75.0,5.0,1.0,1.0,5.0
a_a005738,소피텔 앰배서더 서울,서울,송파구,신천동,24.0,5.0,5.0,5.0,60.0,1,a005738,9,남,30,5,4,3,1,2,4,6,2,5,2.0,3,1,75.0,5.0,1.0,1.0,5.0
