TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
a_a000007,일오삼간장게장,인천,강화군,양도면,11.0,4.0,3.0,3.0,60.0,0,a000007,2,여,30,4,3,1,1,1,1,3,2,6,1.0,6,5,60.0,3.0,0.0,5.0,3.0
a_a000012,옛날돈까스 2호점,경기,수원시,팔달구,11.0,4.0,4.0,4.0,30.0,0,a000012,3,남,30,5,3,1,1,4,3,4,1,5,8.0,2,0,30.0,4.0,0.0,0.0,4.0
a_a000012,오오우키친,경기,수원시,팔달구,11.0,3.0,3.0,3.0,30.0,0,a000012,3,남,30,5,3,1,1,4,3,4,1,5,8.0,2,0,37.5,2.75,0.0,0.25,2.5
a_a000012,탐스커버리 화성행궁점,경기,수원시,팔달구,11.0,4.0,4.0,4.0,120.0,0,a000012,3,남,30,5,3,1,1,4,3,4,1,5,8.0,2,0,120.0,4.0,0.0,0.0,4.0
a_a000012,보영만두 북문본점,경기,수원시,장안구,11.0,4.0,4.0,4.0,30.0,0,a000012,3,남,30,5,3,1,1,4,3,4,1,5,8.0,2,0,34.285714285714285,4.285714285714286,0.14285714285714285,0.8571428571428571,4.142857142857143
a_a000019,배부장찌개 송도 랜드마크시티점,인천,연수구,송도동,11.0,5.0,4.0,4.0,30.0,0,a000019,9,남,20,6,5,2,2,4,4,5,5,3,7.0,2,6,30.0,4.0,0.0,6.0,4.0
a_a000019,푸라닭치킨 인천송도랜드마크점,인천,연수구,송도동,11.0,4.0,4.0,4.0,120.0,0,a000019,9,남,20,6,5,2,2,4,4,5,5,3,7.0,2,6,90.0,4.0,0.0,3.5,4.0
a_a000019,메가커피 송도SK뷰점,인천,연수구,송도동,11.0,4.0,4.0,4.0,30.0,0,a000019,9,남,20,6,5,2,2,4,4,5,5,3,7.0,2,6,30.0,4.0,0.0,6.0,4.0
a_a000021,미스사이공 신도림점,서울,구로구,신도림동,11.0,4.0,3.0,5.0,30.0,0,a000021,2,남,20,5,4,1,3,3,2,2,2,2,3.0,2,1,30.0,5.0,0.0,1.0,3.0
a_a000021,아이마라,서울,구로구,구로동,11.0,4.0,3.0,4.0,30.0,0,a000021,2,남,20,5,4,1,3,3,2,2,2,2,3.0,2,1,30.0,4.0,0.0,1.0,3.0
a_a000021,3355펍,서울,구로구,구로동,11.0,5.0,4.0,4.0,60.0,0,a000021,2,남,20,5,4,1,3,3,2,2,2,2,3.0,2,1,60.0,4.0,0.0,1.0,4.0
a_a000028,아빠곰탕 가평설악점,경기,가평군,설악면,11.0,4.0,4.0,4.0,60.0,0,a000028,8,여,20,3,6,1,2,5,3,2,6,6,4.0,1,3,45.0,4.5,0.5,2.5,4.5
a_a000029,키친마이야르,서울,강남구,신사동,11.0,5.0,5.0,5.0,30.0,0,a000029,9,남,20,1,7,1,1,2,2,1,1,1,9.0,2,1,45.0,5.0,0.0,0.5,5.0
a_a000029,하남돼지집 대학로점,서울,종로구,동숭동,11.0,4.0,3.0,4.0,90.0,0,a000029,9,남,20,1,7,1,1,2,2,1,1,1,9.0,2,1,90.0,4.0,0.0,1.0,3.0
a_a000034,목란,서울,서대문구,연희동,11.0,4.0,4.0,4.0,60.0,1,a000034,4,여,30,1,1,7,2,6,7,3,2,5,8.0,3,2,60.0,4.5,0.5,1.5,4.5
a_a000034,스타벅스 숭례문북창점,서울,중구,남대문로4가,11.0,4.0,3.0,2.0,30.0,0,a000034,4,여,30,1,1,7,2,6,7,3,2,5,8.0,3,2,30.0,2.0,0.0,2.0,3.0
a_a000034,포레스트아웃팅스 송도점,인천,연수구,옥련동,11.0,4.0,4.0,4.0,150.0,0,a000034,4,여,30,1,1,7,2,6,7,3,2,5,8.0,3,2,120.0,3.8333333333333335,0.0,1.5,3.8333333333333335
a_a000051,킷사텐,경기,부천시,심곡동,11.0,2.0,1.0,2.0,30.0,0,a000051,7,남,20,2,3,2,5,5,3,3,6,3,3.0,6,1,30.0,2.0,0.0,1.0,1.0
a_a000051,백소정 부천역점,경기,부천시,심곡동,11.0,5.0,5.0,5.0,60.0,1,a000051,7,남,20,2,3,2,5,5,3,3,6,3,3.0,6,1,60.0,5.0,0.5,0.5,5.0
a_a000058,공차 서울역점,서울,중구,봉래동2가,11.0,4.0,4.0,4.0,60.0,0,a000058,23,남,30,7,4,3,2,3,3,5,3,4,2.0,1,1,45.0,3.5,0.0,1.0,3.5
a_a000058,글로브비스트로,서울,강남구,삼성동,11.0,4.0,4.0,4.0,60.0,0,a000058,23,남,30,7,4,3,2,3,3,5,3,4,2.0,1,1,60.0,4.0,0.0,1.0,4.0
a_a000058,김밥천국 초량점,부산,동구,초량동,11.0,3.0,3.0,3.0,30.0,0,a000058,23,남,30,7,4,3,2,3,3,5,3,4,2.0,1,1,30.0,3.0,0.0,1.0,3.0
