SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
인천,보문사,강화군,삼산면,2.0,68.57142857142857,4.214285714285714,0.0714285714285714,1.2142857142857142,3.928571428571429
경기,아쿠아플라넷 광교,수원시,영통구,6.0,70.0,3.6666666666666665,0.0,0.6666666666666666,2.6666666666666665
경기,화성행궁,수원시,팔달구,2.0,60.588235294117645,4.235294117647059,0.2549019607843137,0.7450980392156863,3.980392156862745
경기,수원화성박물관,수원시,팔달구,2.0,60.0,4.076923076923077,0.0769230769230769,0.7692307692307693,3.615384615384616
경기,수원영동시장,수원시,팔달구,4.0,30.0,4.0,0.0,0.5,4.0
경기,원천호수,수원시,영통구,1.0,45.0,4.0,0.5,1.0,4.0
경기,팔달문,수원시,팔달구,2.0,30.0,2.5,0.5,0.0,2.5
경기,장안공원 화서문,수원시,팔달구,2.0,45.0,4.5,0.0,0.0,4.5
경기,수원전통문화관 예절교육관,수원시,팔달구,3.0,60.0,2.0,0.0,0.0,2.0
경기,수원팔색길 화성성곽길,수원시,장안구,2.0,76.66666666666667,4.444444444444445,0.3333333333333333,0.2222222222222222,4.444444444444445
경기,행궁동벽화마을,수원시,팔달구,7.0,30.0,3.2222222222222223,0.0,0.8888888888888888,3.111111111111111
경기,용문사,양평군,용문면,2.0,84.0,4.2,0.4,1.6,4.0
서울,광장시장,종로구,예지동,4.0,65.35714285714286,3.892857142857143,0.4285714285714285,0.8571428571428571,3.892857142857143
경기,산정호수둘레길,포천시,영북면,7.0,80.0,4.333333333333333,0.6666666666666666,2.333333333333333,4.666666666666667
경기,산정호수,포천시,영북면,5.0,67.5,3.75,0.25,1.625,3.875
경기,백운계곡,포천시,이동면,1.0,165.0,4.0,0.5,2.0,3.5
인천,송도달빛축제공원,연수구,송도동,8.0,168.0,4.2,0.0,4.8,3.6
서울,서울식물원,강서구,마곡동,6.0,76.66666666666667,4.444444444444445,0.3333333333333333,0.8888888888888888,4.333333333333333
서울,잠실종합운동장 잠실야구장,송파구,잠실동,5.0,202.5,4.5,0.75,2.5,4.25
서울,서대문형무소역사관,서대문구,현저동,2.0,93.75,4.625,0.125,2.75,4.375
