SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
서울,DMYK,종로구,숭인동,24.0,75.0,3.0,0.0,1.0,3.0
서울,소피텔 앰배서더 서울,송파구,신천동,24.0,75.0,5.0,1.0,1.0,5.0
서울,밀레니엄힐튼 서울,중구,남대문로5가,24.0,52.5,5.0,0.25,2.0,5.0
서울,안테룸 서울,강남구,신사동,24.0,90.0,4.0,0.0,1.0,4.0
서울,월하여관,종로구,와룡동,24.0,132.0,3.6,0.0,1.0,3.6
서울,안다즈 서울강남,강남구,신사동,24.0,248.57142857142856,4.428571428571429,0.8571428571428571,1.0,4.428571428571429
인천,베스트웨스턴 하버파크호텔,중구,항동3가,24.0,120.0,4.0,0.5,1.0,4.0
서울,파크하얏트 서울,강남구,대치동,24.0,402.0,5.0,0.8,0.6,5.0
서울,포포인츠 바이쉐라톤 서울강남,강남구,신사동,24.0,30.0,3.0,0.5,1.0,2.5
경기,마실빌리지펜션,남양주시,오남읍,24.0,645.0,5.0,0.0,3.0,5.0
인천,부평현대더로프트오피스텔,부평구,부평동,24.0,195.0,3.0,0.0,0.0,3.0
경기,153은하캠프,가평군,가평읍,24.0,150.0,3.0,1.0,1.0,2.0
서울,아리랑힐호텔 동대문,성북구,동선동4가,24.0,45.0,5.0,0.5,1.0,5.0
경기,산정캠프,포천시,영북면,24.0,1005.0,5.0,1.0,1.0,5.0
경기,연천재인폭포 오토캠핑장,연천군,연천읍,24.0,240.0,4.0,1.0,6.0,4.0
경기,테이크호텔,광명시,일직동,24.0,810.0,4.0,0.0,1.0,4.0
경기,썬스타,수원시,팔달구,24.0,105.0,4.0,0.0,0.0,4.0
경기,프렌즈펜션캠핑,포천시,이동면,24.0,105.0,3.5,1.0,3.0,3.0
서울,페어몬트 앰배서더 서울,영등포구,여의도동,24.0,240.0,5.0,0.5,1.25,5.0
경기,거먹골한옥펜션,안성시,금광면,24.0,405.0,4.5,0.0,2.5,4.5
서울,레스케이프호텔,중구,회현동1가,24.0,135.0,4.0,0.0,0.5,4.0
서울,G게스트하우스,용산구,이태원동,24.0,90.0,3.0,0.5,0.0,2.5
서울,서울앤호텔 동대문,종로구,숭인동,24.0,45.0,3.0,0.5,0.0,2.5
경기,S스테이호텔,수원시,팔달구,24.0,90.0,2.0,0.5,0.0,2.0
