SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
경기,오오우키친,수원시,팔달구,11.0,37.5,2.75,0.0,0.25,2.5
경기,보영만두 북문본점,수원시,장안구,11.0,34.285714285714285,4.285714285714286,0.1428571428571428,0.8571428571428571,4.142857142857143
인천,푸라닭치킨 인천송도랜드마크점,연수구,송도동,11.0,90.0,4.0,0.0,3.5,4.0
경기,아빠곰탕 가평설악점,가평군,설악면,11.0,45.0,4.5,0.5,2.5,4.5
서울,키친마이야르,강남구,신사동,11.0,45.0,5.0,0.0,0.5,5.0
서울,목란,서대문구,연희동,11.0,60.0,4.5,0.5,1.5,4.5
인천,포레스트아웃팅스 송도점,연수구,옥련동,11.0,120.0,3.8333333333333335,0.0,1.5,3.8333333333333335
경기,백소정 부천역점,부천시,심곡동,11.0,60.0,5.0,0.5,0.5,5.0
서울,공차 서울역점,중구,봉래동2가,11.0,45.0,3.5,0.0,1.0,3.5
서울,멘텐,중구,충무로2가,11.0,75.0,4.5,0.0,0.5,4.0
서울,블루보틀 광화문 카페,종로구,서린동,11.0,30.0,4.0,0.0,1.0,3.0
서울,다만프레르 SFC점,중구,무교동,11.0,50.0,4.666666666666667,0.0,1.0,4.0
서울,스시코하루,영등포구,여의도동,11.0,60.0,5.0,0.0,1.0,5.0
서울,소금집 델리 안국,종로구,계동,11.0,40.0,5.0,0.0,1.0,5.0
서울,원조남산왕돈까스,중구,예장동,11.0,30.0,3.0,0.3333333333333333,2.6666666666666665,3.0
서울,롯데리아 김포국제공항국내선청사4층점,강서구,공항동,11.0,45.0,3.5,0.25,2.0,3.75
서울,설빙 석촌호수동호점,송파구,송파동,11.0,90.0,3.5,0.0,1.5,3.5
서울,모센즈스위트,마포구,서교동,11.0,45.0,4.5,0.5,2.0,3.5
서울,청와옥 을지로3가 직영점,중구,을지로3가,11.0,52.5,4.25,0.25,1.5,4.25
서울,델리카한스 롯데호텔서울,중구,을지로1가,11.0,60.0,4.0,1.0,0.0,4.0
서울,스타벅스 더종로R점,종로구,공평동,11.0,30.0,4.0,0.6666666666666666,1.6666666666666667,4.0
경기,백년손님,안산시,단원구,11.0,48.0,3.4,0.2,2.6,3.4
경기,이곡둑길153,가평군,북면,11.0,60.0,2.5,0.0,1.5,2.5
경기,포포팩토리,가평군,가평읍,11.0,45.0,3.5,0.0,1.0,4.0
인천,엠클리프,중구,덕교동,11.0,90.0,4.75,0.25,1.5,4.75
서울,우래옥 본점,중구,주교동,11.0,75.0,4.333333333333333,0.1666666666666666,1.1666666666666667,4.166666666666667
서울,미미면가 본점,강남구,신사동,11.0,60.0,3.0,0.0,1.5,2.5
경기,소문난이동갈비,포천시,이동면,11.0,75.0,3.5,0.0,1.0,2.5
대구,온기정,수성구,두산동,11.0,70.0,4.333333333333333,0.0,0.6666666666666666,4.333333333333333
대구,면담,중구,남일동,11.0,30.0,3.0,0.0,1.0,3.0
서울,소리숲카페,성동구,성수동2가,11.0,60.0,4.0,0.0,0.0,4.0
경기,랩오브 파리바게뜨,성남시,분당구,11.0,45.0,4.5,0.0,1.0,4.5
강원,에이엠브레드,강릉시,견소동,11.0,60.0,4.0,0.0,1.0,4.0
강원,폴앤메리버거 강문점,강릉시,강문동,11.0,60.0,2.5,0.0,1.5,3.0
서울,진주회관,중구,서소문동,11.0,30.0,5.0,0.0,0.5,4.5
인천,뻘다방,옹진군,영흥면,11.0,75.0,4.75,0.0,0.75,4.25
경기,강민주의들밥,이천시,마장면,11.0,60.0,3.5,0.5,1.5,4.0
경기,앳더팔당,남양주시,조안면,11.0,90.0,5.0,0.0,1.0,5.0
경기,스타벅스 더양평DTR,양평군,양평읍,11.0,54.0,4.4,0.2,1.2,4.2
