VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
넘버25 수원화성행궁점,경기,수원시,팔달구,24.0,4.0,3,남,30,3,1,1,4,3,4,1,5,8.0,2,0,120.0,4.0,0.0,0.0,4.0
해밀호텔,경기,수원시,팔달구,24.0,5.0,3,남,30,3,1,1,4,3,4,1,5,8.0,2,0,160.0,5.0,0.0,0.3333333333333333,5.0
해밀호텔,경기,수원시,팔달구,24.0,5.0,3,남,30,3,1,1,4,3,4,1,5,8.0,2,0,160.0,5.0,0.0,0.3333333333333333,5.0
넘버25 수원화성행궁점,경기,수원시,팔달구,24.0,4.0,3,남,30,3,1,1,4,3,4,1,5,8.0,2,0,120.0,4.0,0.0,0.0,4.0
멜로워 성수플래그쉽,서울,성동구,성수동2가,11.0,5.0,6,남,30,2,3,3,5,3,5,2,5,7.0,6,0,30.0,5.0,0.0,0.0,5.0
오레노라멘 강남점,서울,강남구,역삼동,11.0,5.0,6,남,30,2,3,3,5,3,5,2,5,7.0,6,0,30.0,5.0,0.0,0.0,5.0
갈비1987,경기,포천시,이동면,11.0,4.0,8,여,40,2,2,2,5,3,1,3,4,1.0,1,3,90.0,4.0,0.0,2.0,3.5
송도달빛축제공원,인천,연수구,송도동,8.0,5.0,6,남,20,3,2,1,6,6,1,7,6,9.0,1,3,660.0,5.0,0.0,3.0,5.0
수원화성,경기,수원시,장안구,2.0,5.0,6,남,20,3,2,1,6,6,1,7,6,9.0,1,3,85.71428571428571,4.142857142857143,0.35714285714285715,1.1428571428571428,4.071428571428571
방화수류정,경기,수원시,팔달구,2.0,5.0,6,남,20,3,2,1,6,6,1,7,6,9.0,1,3,52.5,4.75,0.125,1.375,4.625
에버랜드 홈브리지캐빈호스텔,경기,용인시,처인구,24.0,4.0,4,여,30,1,7,2,6,7,3,2,5,8.0,3,2,570.0,4.0,1.0,2.0,4.0
행궁동벽화마을,경기,수원시,팔달구,7.0,4.0,3,여,50,6,4,3,4,4,4,2,2,1.0,1,0,45.0,4.0,0.0,0.5,4.0
장안통닭,경기,수원시,팔달구,11.0,5.0,3,여,50,6,4,3,4,4,4,2,2,1.0,1,0,60.0,4.0,0.0,1.0,4.0
효원공원 월화원,경기,수원시,팔달구,1.0,5.0,3,여,50,6,4,3,4,4,4,2,2,1.0,1,0,55.714285714285715,4.285714285714286,0.14285714285714285,0.7142857142857143,3.857142857142857
수원화성,경기,수원시,장안구,2.0,5.0,3,여,50,6,4,3,4,4,4,2,2,1.0,1,0,85.71428571428571,4.142857142857143,0.35714285714285715,1.1428571428571428,4.071428571428571
AK플라자 AKTown점,경기,수원시,팔달구,4.0,4.0,3,여,50,6,4,3,4,4,4,2,2,1.0,1,0,42.0,4.0,0.6,0.8,4.0
방화수류정,경기,수원시,팔달구,2.0,5.0,3,여,50,6,4,3,4,4,4,2,2,1.0,1,0,52.5,4.75,0.125,1.375,4.625
롯데몰 수원점,경기,수원시,권선구,4.0,4.0,3,여,50,6,4,3,4,4,4,2,2,1.0,1,0,120.0,4.0,0.3333333333333333,0.6666666666666666,4.0
전쟁기념관 어린이박물관,서울,용산구,용산동1가,2.0,4.0,3,남,40,2,1,1,1,7,7,3,6,7.0,2,9,120.0,4.0,0.0,9.0,4.0
경복궁,서울,종로구,세종로,2.0,4.0,3,남,40,2,1,1,1,7,7,3,6,7.0,2,9,74.28571428571429,4.571428571428571,0.38095238095238093,1.380952380952381,4.428571428571429
국립중앙박물관,서울,용산구,용산동6가,2.0,5.0,3,남,40,2,1,1,1,7,7,3,6,7.0,2,9,127.5,4.875,0.5,1.5,4.625
아이파크몰,서울,용산구,한강로3가,4.0,4.0,3,남,40,2,1,1,1,7,7,3,6,7.0,2,9,127.5,4.5,0.75,3.25,4.5
롯데프리미엄아울렛 파주점,경기,파주시,문발동,4.0,3.0,24,남,50,3,6,3,3,3,5,3,6,3.0,1,1,96.0,4.4,0.8,1.2,4.6
파주프리미엄아울렛,경기,파주시,탄현면,4.0,3.0,24,남,50,3,6,3,3,3,5,3,6,3.0,1,1,144.0,4.4,0.8,1.4,4.4
지혜의숲,경기,파주시,문발동,3.0,4.0,24,남,50,3,6,3,3,3,5,3,6,3.0,1,1,50.0,4.333333333333333,0.6666666666666666,1.3333333333333333,4.333333333333333
호텔그레이스리 서울,서울,중구,남대문로4가,24.0,4.0,6,여,20,5,3,3,3,4,3,3,2,2.0,1,2,308.57142857142856,4.142857142857143,0.42857142857142855,0.8571428571428571,4.142857142857143
호텔그레이스리 서울,서울,중구,남대문로4가,24.0,4.0,6,여,20,5,3,3,3,4,3,3,2,2.0,1,2,308.57142857142856,4.142857142857143,0.42857142857142855,0.8571428571428571,4.142857142857143
호텔그레이스리 서울,서울,중구,남대문로4가,24.0,5.0,26,여,30,2,1,6,4,6,3,3,6,1.0,4,1,308.57142857142856,4.142857142857143,0.42857142857142855,0.8571428571428571,4.142857142857143
어반스테이 인천송도,인천,연수구,송도동,24.0,5.0,26,여,30,2,2,4,4,4,4,2,1,1.0,5,1,90.0,5.0,0.0,1.0,5.0
